fps,Unnamed: 1,Unnamed: 2
2.029,,0.0
2.371,,0.0
1.923,,0.0
2.155,,0.0
1.693,,0.0
2.193,,0.0
2.083,,0.0
2.13,,0.0
2.276,,0.0
2.14,,0.0
2.189,,0.0
2.191,,0.0
2.851,,0.0
2.847,,0.0
2.397,,0.0
2.484,,0.0
2.066,,
1.987,,
2.141,,
1.943,,
2.265,,
2.085,,
2.236,,
1.6,,
1.857,,
2.125,,
2.257,,
2.301,,
2.472,,
2.08,,
2.371,,
2.099,,
1.868,,
2.202,,
2.443,,
2.385,,
2.297,,
2.898,,
2.403,,
2.86,,
1.976,,
2.04,,
2.1,,
2.307,,
2.107,,
2.499,,
2.379,,
1.968,,
2.311,,
2.242,,
2.0,,
2.35,,
2.417,,
2.092,,
2.026,,
1.769,,
2.199,,
2.268,,
2.091,,
1.899,,
2.128,,
2.221,,
2.029,,
2.117,,
1.997,,
2.822,,
2.341,,
1.983,,
2.345,,
2.216,,
2.029,,
1.959,,
2.395,,
2.205,,
2.461,,
1.806,,
2.478,,
2.294,,
2.309,,
2.345,,
1.835,,
2.407,,
1.899,,
2.193,,
2.116,,
2.425,,
2.37,,
1.957,,
2.217,,
1.794,,
2.231,,
2.162,,
2.33,,
2.487,,
2.232,,
2.425,,
2.419,,
2.159,,
2.051,,
2.025,,
2.111,,
2.38,,
2.49,,
2.381,,
2.163,,
2.211,,
2.094,,
2.333,,
2.383,,
2.439,,
2.247,,
2.414,,
2.24,,
2.336,,
2.363,,
2.371,,
1.947,,
1.831,,
2.045,,
2.342,,
2.438,,
2.167,,
2.264,,
2.305,,
2.252,,
2.334,,
2.476,,
2.466,,
2.075,,
2.026,,
2.32,,
2.231,,
2.038,,
2.281,,
2.115,,
2.318,,
2.401,,
2.377,,
2.147,,
2.202,,
2.335,,
2.323,,
2.21,,
2.163,,
1.661,,
2.163,,
2.055,,
2.211,,
2.398,,
2.344,,
2.293,,
2.35,,
2.268,,
2.349,,
2.233,,
2.272,,
2.215,,
2.246,,
2.476,,
2.15,,
2.85,,
2.472,,
2.298,,
2.248,,
2.278,,
2.071,,
2.276,,
2.37,,
2.445,,
2.445,,
2.231,,
1.946,,
2.133,,
2.392,,
2.11,,
2.301,,
1.986,,
2.162,,
2.239,,
2.21,,
1.945,,
2.084,,
1.956,,
1.991,,
2.331,,
1.9,,
2.488,,
2.238,,
2.317,,
2.381,,
2.191,,
2.251,,
2.449,,
2.25,,
2.373,,
2.37,,
2.362,,
2.056,,
2.409,,
2.22,,
2.458,,
1.762,,
1.934,,
2.391,,
2.129,,
1.877,,
2.486,,
2.28,,
2.448,,
2.329,,
2.307,,
2.298,,
2.26,,
2.27,,
2.154,,
2.212,,
2.459,,
2.371,,
2.405,,
1.997,,
1.968,,
2.148,,
1.97,,
2.133,,
1.945,,
2.083,,
2.133,,
1.987,,
2.004,,
1.92,,
2.185,,
2.211,,
2.129,,
1.887,,
1.968,,
2.37,,
2.031,,
2.467,,
2.081,,
1.819,,
2.474,,
2.404,,
2.34,,
2.491,,
2.093,,
2.135,,
2.453,,
2.264,,
2.124,,
2.488,,
2.386,,
2.268,,
2.47,,
2.049,,
2.46,,
2.267,,
2.238,,
2.133,,
2.297,,
2.472,,
2.096,,
1.963,,
2.206,,
1.955,,
2.431,,
2.193,,
1.861,,
2.213,,
2.252,,
2.412,,
2.264,,
2.17,,
2.284,,
2.274,,
2.229,,
2.336,,
2.435,,
1.908,,
2.172,,
2.188,,
2.211,,
1.826,,
2.322,,
2.292,,
2.345,,
2.04,,
2.219,,
2.253,,
2.075,,
2.067,,
1.994,,
2.202,,
2.061,,
2.814,,
1.828,,
2.018,,
2.2,,
2.468,,
2.197,,
2.469,,
2.053,,
2.315,,
2.058,,
2.405,,
2.352,,
1.737,,
2.153,,
2.334,,
1.997,,
2.473,,
2.18,,
2.39,,
2.394,,
2.02,,
2.497,,
2.048,,
1.974,,
2.079,,
2.213,,
2.327,,
2.107,,
2.486,,
2.363,,
2.126,,
2.275,,
2.246,,
1.857,,
2.198,,
2.227,,
2.361,,
2.258,,
2.361,,
2.168,,
2.177,,
1.973,,
2.298,,
1.862,,
2.134,,
2.309,,
2.396,,
2.381,,
2.244,,
2.42,,
1.873,,
2.482,,
2.275,,
2.168,,
1.689,,
1.955,,
2.128,,
2.029,,
2.186,,
2.114,,
2.331,,
2.153,,
2.339,,
2.013,,
2.347,,
2.03,,
2.34,,
1.89,,
2.378,,
2.162,,
2.2,,
2.328,,
2.336,,
1.986,,
2.365,,
2.316,,
2.332,,
1.984,,
1.949,,
2.141,,
2.218,,
2.326,,
2.341,,
2.315,,
2.29,,
1.832,,
2.15,,
2.257,,
2.396,,
2.453,,
2.468,,
2.305,,
2.155,,
2.135,,
2.488,,
1.69,,
1.973,,
2.059,,
2.238,,
1.642,,
2.45,,
2.863,,
2.157,,
1.924,,
2.242,,
2.094,,
2.236,,
2.037,,
2.442,,
2.428,,
2.293,,
2.378,,
2.264,,
2.488,,
2.317,,
2.234,,
2.052,,
2.166,,
1.875,,
2.24,,
2.404,,
2.267,,
2.199,,
2.028,,
2.442,,
2.337,,
2.437,,
2.376,,
2.361,,
1.769,,
2.118,,
2.152,,
2.213,,
2.188,,
2.403,,
2.45,,
2.017,,
2.472,,
2.446,,
2.416,,
1.946,,
2.41,,
2.321,,
2.328,,
2.3,,
2.458,,
2.021,,
1.937,,
2.182,,
2.217,,
1.603,,
1.903,,
2.269,,
2.522,,
2.283,,
2.276,,
2.27,,
1.859,,
2.59,,
2.129,,
2.572,,
2.282,,
2.567,,
2.386,,
2.273,,
2.357,,
1.932,,
2.302,,
2.729,,
2.627,,
2.054,,
2.426,,
2.362,,
2.504,,
2.324,,
2.242,,
2.633,,
2.354,,
2.614,,
2.544,,
2.219,,
2.258,,
2.782,,
2.348,,
2.11,,
2.0,,
2.544,,
2.34,,
2.102,,
2.469,,
2.34,,
1.885,,
2.447,,
2.633,,
2.309,,
2.358,,
2.702,,
2.342,,
2.369,,
2.142,,
1.951,,
2.528,,
1.982,,
2.585,,
2.103,,
2.366,,
2.207,,
2.594,,
2.375,,
2.79,,
2.029,,
2.403,,
2.312,,
2.37,,
2.699,,
2.446,,
2.013,,
2.433,,
2.196,,
2.182,,
2.561,,
2.149,,
2.205,,
2.308,,
2.537,,
2.445,,
2.241,,
2.232,,
2.01,,
2.11,,
2.136,,
2.263,,
2.797,,
2.131,,
2.226,,
1.787,,
2.45,,
1.906,,
2.073,,
2.561,,
1.774,,
2.324,,
2.5,,
2.681,,
2.07,,
2.144,,
2.751,,
2.294,,
2.116,,
2.121,,
2.057,,
2.19,,
2.572,,
2.522,,
2.006,,
2.354,,
2.199,,
2.496,,
2.261,,
2.393,,
2.26,,
1.753,,
2.312,,
1.982,,
2.487,,
2.13,,
2.149,,
2.298,,
2.444,,
2.258,,
2.711,,
2.712,,
2.729,,
2.241,,
1.93,,
2.605,,
2.196,,
2.31,,
2.457,,
1.899,,
2.707,,
2.519,,
2.388,,
2.523,,
2.439,,
2.329,,
2.223,,
2.115,,
2.372,,
2.39,,
2.571,,
2.35,,
2.087,,
1.906,,
2.268,,
2.293,,
2.275,,
1.917,,
2.569,,
2.568,,
2.094,,
2.501,,
2.538,,
2.31,,
2.063,,
2.703,,
2.395,,
2.237,,
2.493,,
2.706,,
2.176,,
2.473,,
2.786,,
2.021,,
2.163,,
2.151,,
2.26,,
2.248,,
2.375,,
2.095,,
2.144,,
2.375,,
2.339,,
2.519,,
2.402,,
2.493,,
2.014,,
2.204,,
2.762,,
2.398,,
2.487,,
2.368,,
2.406,,
2.242,,
